synset,ImageNet,creative_commons,grand_total,hypernyms,,,
french_fries.n.01,10,20,30,potato.n.01,,,
fruit_salad.n.01,0,20,20,salad.n.01,,,
ice_cream.n.01,10,20,30,frozen_dessert.n.01,,,
muffin.n.01,11,20,31,quick_bread.n.01,,,
pizza.n.01,10,20,30,dish.n.02,,,
poultry.n.02,1,20,21,bird.n.02,,,
salad.n.01,0,20,20,dish.n.02,,,
sandwich.n.01,1,20,21,snack_food.n.01,,,
soup.n.01,10,20,30,dish.n.02,,,
fruit.n.01,13,320,333,reproductive_structure.n.01,16,,
apple.n.01,2,20,22,"edible_fruit.n.01
",,,
banana.n.02,0,20,22,edible_fruit.n.01,,,
blueberry.n.02,1,20,21,berry.n.01,,,
cherry.n.03,0,20,20,edible_fruit.n.01,,,
cranberry.n.02,1,20,21,berry.n.01,,,
grape.n.01,2,20,22,edible_fruit.n.01,,,
grapefruit.n.01,0,20,20,citrus.n.02,,,
kiwi.n.03,2,20,22,edible_fruit.n.01,,,
lemon.n.01,0,20,20,citrus.n.02,,,
mango.n.02,0,20,20,edible_fruit.n.01,,,
melon.n.01,0,20,20,edible_fruit.n.01,,,
peach.n.03,2,20,22,edible_fruit.n.01,,,
pear.n.01,1,20,21,edible_fruit.n.01,,,
pitahaya.n.02,0,20,20,edible_fruit.n.01,,,
raspberry.n.02,0,20,20,berry.n.01,,,
strawberry.n.01,2,20,22,berry.n.01,,,
furniture.n.01,44,320,364,furnishing.n.02,16,,
armchair.n.01,3,20,23,chair.n.01,,,
bed.n.01,16,20,36,bedroom_furniture.n.01,,,
bench.n.01,0,20,20,seat.n.03,,,
bookshelf.n.01,0,20,20,shelf.n.01,,,
buffet.n.01,4,20,24,furniture.n.01,,,
cabinet.n.01,0,20,20,furniture.n.01,,,
chair.n.01,2,20,22,seat.n.03,,,
desk.n.01,0,20,20,table.n.02,,,
dresser.n.01,1,20,21,furniture.n.01,,,
filing_cabinet.n.01,0,20,20,office_furniture.n.01,,,
lamp.n.02,0,20,20,furniture.n.01,,,
pouffe.n.01,5,20,25,seat.n.03,,,
rocking_chair.n.01,0,20,20,chair.n.01,,,
sofa.n.01,11,20,31,seat.n.03,,,
stool.n.01,0,20,20,seat.n.03,,,
table.n.02,2,20,22,furniture.n.01,,,
game.n.01,19,320,339,activity.n.01,16,,
beach_ball.n.01,0,20,20,ball.n.06,,,
billiards.n.01,3,20,23,table_game.n.01,,,
bowling.n.01,1,20,21,game.n.01,,,
checkers.n.01,0,20,20,board_game.n.01,,,
chess.n.02,2,20,22,board_game.n.01,,,
chinese_checkers.n.01,0,20,20,board_game.n.01,,,
cube.n.05,1,20,21,block.n.01,,,
dice.n.01,0,20,20,cube.n.05,,,
ferris_wheel.n.01,2,20,22,ride.n.02,,,
hula-hoop.n.01,0,20,20,plaything.n.01,,,
kite.n.03,1,20,21,plaything.n.01,,,
marble.n.02,0,20,20,ball.n.01,,,
miniature_golf.n.01,0,20,20,golf.n.01,,,
puzzle.n.02,8,20,28,game.n.09,,,
slide.n.04,1,20,21,plaything.n.01,,,
swing.n.02,0,20,20,plaything.n.01,,,
household_appliance.n.01,19,320,319,appliance.n.02,16,,
air_conditioner.n.01,0,20,20,appliance.n.02,,,
broom.n.01,3,20,23,cleaning_implement.n.01,,,
brush.n.02,0,20,20,implement.n.01,,,
bucket.n.01,0,20,20,vessel.n.03,,,
clothespin.n.01,0,20,20,fastener.n.02,,,
dishwasher.n.01,0,20,20,white_goods.n.01,,,
fan.n.01,0,20,20,device.n.01,,,
glove.n.02,0,20,20,handwear.n.01,,,
laundry_basket.n.01,2,20,22,hamper.n.02,,,
mop.n.01,1,20,21,cleaning_implement.n.01,,,
scouring_pad.n.01,0,20,20,cleaning_pad.n.01,,,
sewing_machine.n.01,0,20,20,home_appliance.n.01,,,
steam_iron.n.01,0,20,20,iron.n.04,,,
trash_can.n.01,0,20,20,bin.n.01,,,
vacuum_cleaner.n.01,12,20,32,home_appliance.n.01,,,
washer.n.03,1,20,21,white_goods.n.01,,,
jewelry.n.01,29,320,329,adornment.n.01,16,,
anklet.n.03,0,20,20,bracelet.n.02,,,
bracelet.n.02,4,20,24,jewelry.n.01,,,
chain.n.03,0,20,20,ligament.n.02,,,
clip.n.04,0,20,20,jewelry.n.01,,,
crown.n.04,12,20,32,crown_jewels.n.01,,,
cufflink.n.01,0,20,20,jewelry.n.01,,,
earring.n.01,4,20,24,jewelry.n.01,,,
medal.n.01,0,20,20,award.n.02,,,
necklace.n.01,5,20,25,jewelry.n.01,,,
nose_ring.n.01,0,20,20,hoop.n.02,,,
pendant.n.01,0,20,20,adornment.n.01,,,
precious_stone,0,20,20,jewelry.n.01,,,
ring.n.08,4,20,24,jewelry.n.01,,,
rosary.n.01,0,20,20,beads.n.01,,,
sunglasses.n.01,0,20,20,spectacles.n.01,,,
watch.n.01,0,20,20,timepiece.n.01,,,
kitchen_utensil.n.01,5,320,325,utensil.n.01,16,,
bottle_opener.n.01,0,20,20,opener.n.03,,,
butter_knife.n.01,0,20,20,table_knife.n.01,,,
corkscrew.n.01,0,20,20,bottle_opener.n.01,,,
cup.n.01,0,20,20,crockery.n.01,,,
drinking_glass.n.01,0,20,20,container.n.01,,,
fork.n.01,0,20,20,cutlery.n.02,,,
fridge.n.01,3,20,23,refrigerator.n.01,,,
grater.n.01,1,20,21,kitchen_utensil.n.01,,,
knife.n.01,0,20,20,edge_tool.n.01,,,
ladle.n.01,0,20,20,vessel.n.03,,,
oven.n.01,1,20,21,kitchen_appliance.n.01,,,
peeler.n.03,0,20,20,device.n.01,,,
plate.n.04,0,20,20,flatware.n.01,,,
tablespoon.n.02,0,20,20,spoon.n.01,,,
teapot.n.01,0,20,20,pot.n.01,,,
whisk.n.01,0,20,20,mixer.n.04,,,
medical_instrument.n.01,21,320,341,instrument.n.01,16,,
crutch.n.01,4,20,24,staff.n.02,,,
first_aid.n.01,10,20,30,care.n.01,,,
glasses.n.01,0,20,20,optical_instrument.n.01,,,
glove.n.02,0,20,20,handwear.n.01,,,
meter.n.02,0,20,20,measuring_instrument.n.01,,,
MRI.n.01,0,20,20,imaging.n.02,,,
pill.n.02,2,20,22,dose.n.01,,,
pregnancy_test.n.01,0,20,20,bioassay.n.01,,,
scale.n.07,0,20,20,measuring_instrument.n.01,,,
sphygmomanometer.n.01,0,20,20,pressure_gauge.n.01,,,
stethoscope.n.01,5,20,25,medical_instrument.n.01,,,
stretcher.n.03,0,20,20,litter.n.03,,,
syringe.n.01,0,20,20,medical_instrument.n.01,,,
tape.n.04,0,20,20,measuring_instrument.n.01,,,
thermometer.n.01,0,20,20,measuring_instrument.n.01,,,
wheelchair.n.01,0,20,20,chair.n.01,,,
musical_instrument.n.01,25,320,305,device.n.01,16,,
accordion.n.01,0,20,20,free-reed_instrument.n.01,,,
clarinet.n.01,0,20,20,single-reed_instrument.n.01,,,
drum.n.01,2,20,22,percussion_instrument.n.01,,,
flute.n.01,0,20,20,woodwind.n.01,,,
guitar.n.01,10,20,30,stringed_instrument.n.01,,,
gong.n.01,0,20,20,percussion_instrument.n.01,,,
harmonica.n.01,2,20,22,free-reed_instrument.n.01,,,
harp.n.01,0,20,20,chordophone.n.01,,,
maraca.n.01,1,20,21,percussion_instrument.n.01,,,
organ.n.05,0,20,20,keyboard_instrument.n.01,,,
piano.n.01,10,20,30,keyboard_instrument.n.01,,,
saxophone.n.01,0,20,20,single-reed_instrument.n.01,,,
tambourine.n.01,0,20,20,drum.n.01,,,
trumpet.n.01,0,20,20,brass.n.02,,,
violin.n.01,0,20,20,bowed_stringned_instrument.n.01,,,
xylophone.n.01,0,20,20,percussion_instrument.n.01,,,
outdoor_sport.n.01,48,320,368,sport.n.01,16,,
baseball.n.02,5,20,25,ball.n.01,,,
basket.n.03,0,20,20,goal.n.03,,,
basketball.n.02,10,20,30,ball.n.01,,,
fishing_rod.n.01,1,20,21,rod.n.01,,,
glider.n.01,1,20,21,heavier-than-air_craft.n.01,,,
golf_ball.n.01,1,20,21,golf_equipment.n.01,,,
hammock.n.01,10,20,30,bed.n.01,,,
kayak.n.01,2,20,22,canoe.n.01,,,
football.n.02,0,20,20,ball.n.01,,,
parachute.n.01,2,20,22,rescue_equipment.n.01,,,
rollerblade.n.01,2,20,22,in-line_skate.n.01,,,
skateboard.n.01,2,20,22,board.n.03,,,
snowshoe.n.01,4,20,24,device.n.01,,,
soccer_ball.n.01,6,20,26,ball.n.01,,,
surfboard.n.01,0,20,20,board.n.01,,,
tennis_ball.n.01,2,20,22,ball.n.01,,,
school.n.02,20,320,340,building.n.01,16,,
backpack.n.01,0,20,20,bag.n.01,,,
binder.n.03,0,20,20,protective_covering.n.01,,,
board.n.05,2,20,22,display.n.06,,,
book.n.01,0,20,20,publication.n.01,,,
chalk.n.01,0,20,20,writing_implement.n.01,,,
eraser.n.01,0,20,20,implement.n.01,,,
marker.n.03,0,20,20,writing_implement.n.01,,,
memo.n.01,0,20,20,note.n.01,,,
notebook.n.01,0,20,20,book.n.02,,,
paperclip.n.01,0,20,20,clip.n.03,,,
pen.n.01,11,20,31,writing_implement.n.01,,,
pencil.n.01,0,20,20,writing_implement.n.01,,,
pencil_case.n.01,3,20,23,box.n.01,,,
punch.n.03,1,20,21,tool.n.01,,,
scissors.n.01,0,20,20,compound_lever.n.01,,,
sharpener.n.01,3,20,23,implement.n.01,,,
tool.n.01,50,320,370,implement.n.01,16,,
axe.n.01,0,20,20,edge_tool.n.01,,,
blower.n.01,0,20,20,device.n.01,,,
chainsaw.n.01,0,20,20,power_saw.n.01,,,
drill.n.01,10,20,30,tool.n.01,,,
hammer.n.02,10,20,30,hand_tool.n.01,,,
knife.n.01,6,20,26,edge_tool.n.01,,,
paint_roller.n.01,0,20,20,roller.n.04,,,
pipe_wrench.n.01,0,20,20,adjustable_wrench.n.01,,,
pliers.n.01,3,20,23,compound_lever.n.01,,,
rake.n.03,4,20,24,tool.n.01,,,
screwdriver.n.01,5,20,25,hand_tool.n.01,,,
shovel.n.01,10,20,30,hand_tool.n.01,,,
step_ladder.n.01,0,20,20,ladder.n.01,,,
watering_can.n.01,1,20,21,container.n.01,,,
wheelbarrow.n.01,0,20,20,handcart.n.01,,,
wrench.n.03,1,20,21,hand_tool.n.01,,,
vegetable.n.01,15,320,295,produce.n.01,16,,
asparagus.n.02,0,20,20,vegetable.n.01,,,
broccoli.n.01,0,20,20,crucifer.n.01,,,
cabbage.n.03,0,20,20,crucifer.n.01,,,
carrot.n.01,0,20,20,root.n.01,,,
cauliflower.n.01,0,20,20,crucifer.n.01,,,
celery.n.01,0,20,20,herb.n.01,,,
corn.n.01,1,20,21,cereal.n.01,,,
cucumber.n.01,0,20,20,vegetable.n.01,,,
lettuce.n.02,3,20,23,herb.n.01,,,
mushroom.n.02,5,20,25,agaric.n.02,,,
onion.n.03,1,20,21,vegetable.n.01,,,
pepper.n.04,3,20,23,solanaceous_vegetable.n.01,,,
potato.n.01,0,20,20,root_vegetable.n.01,,,
pumpkin.n.01,1,20,21,squash.n.01,,,
radish.n.01,1,20,21,cruciferous_vegetable.n.01,,,
zucchini.n.02,0,20,20,summer_squash.n.02,,,
vehicle.n.01,38,320,358,conveyance.n.03,16,,
airplane.n.01,0,20,20,heavier-than-air_craft.n.01,,,
bicycle.n.01,2,20,22,wheeled_vehicle.n.01,,,
bus.n.01,0,20,20,public_transport.n.01,,,
car.n.01,0,20,20,motor_vehicule.n.01,,,
caravan.n.02,7,20,27,camper.n.02,,,
cargo_ship.n.01,0,20,20,ship.n.01,,,
dirt_bike.n.01,2,20,22,motorcycle.n.01,,,
fire_truck.n.01,4,20,24,truck.n.01,,,
metro.n.01,2,20,22,railway.n.01,,,
motorcycle.n.01,0,20,20,motor_vehicule.n.01,,,
pickup.n.01,0,20,20,truck.n.01,,,
RV.n.01,10,20,30,self-propelled_vehicle.n.01,,,
sailboat.n.01,4,20,24,sailing_vessel.n.01,,,
scooter.n.03,0,20,20,wheeled_vehicle.n.01,,,
tractor.n.01,6,20,26,self-propelled_vehicle.n.01,,,
train.n.01,1,20,21,public_transport.n.01,,,
